timestamp,elapsed_s,shoulder_pan_deg,shoulder_pan_rad,shoulder_lift_deg,shoulder_lift_rad,elbow_flex_deg,elbow_flex_rad,wrist_flex_deg,wrist_flex_rad,wrist_roll_deg,wrist_roll_rad,gripper_deg,gripper_rad
2026-07-22 11:41:32.353,1020.835,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.387,1020.868,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.421,1020.901,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.454,1020.934,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.487,1020.968,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.520,1021.001,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.553,1021.035,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.585,1021.067,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.619,1021.101,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.652,1021.134,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.685,1021.167,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.719,1021.201,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.752,1021.234,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.785,1021.268,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.819,1021.301,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.852,1021.334,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.886,1021.368,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.919,1021.401,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.952,1021.434,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:32.986,1021.467,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.019,1021.501,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.052,1021.534,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.085,1021.568,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.118,1021.601,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.152,1021.634,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.186,1021.668,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.222,1021.701,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
2026-07-22 11:41:33.253,1021.734,176.13,3.074097,179.91,3.140059,180.44,3.149263,177.89,3.104777,174.46,3.044952,172.44,3.009670
